Year,Month,Day,TROP (Tg of SO2),error (Tg of SO2),AAI
2019,6,22,0.297,0.08,18.992
2019,6,23,1.218,0.318,3.507
2019,6,24,1.41,0.365,1.145
2019,6,25,1.396,0.366,1.209
2019,6,26,1.375,0.362,1.122
2019,6,27,1.316,0.357,
2019,6,28,1.317,0.359,
2019,6,29,1.263,0.347,
2019,6,30,1.179,0.323,
2019,7,1,1.106,0.303,
2019,7,2,1.021,0.282,
2019,7,3,1.004,0.278,
2019,7,4,0.958,0.268,
2019,7,5,0.901,0.255,
2019,7,6,0.866,0.251,
2019,7,7,0.838,0.245,
2019,7,8,0.8,0.236,
2019,7,9,0.761,0.226,
2019,7,10,0.684,0.203,
2019,7,11,0.614,0.184,
2019,7,12,0.561,0.169,
2019,7,13,0.501,0.151,
2019,7,14,0.39,0.119,
2019,7,15,0.32,0.097,